id,activity_id,name
"3,191,380",MDC1-UP#13,MDC1 Master Update #13- DD 8.31.2021Submitted
"3,191,381",MDC1-UP#13.1,Executive Summary / Milestones
"3,192,817",MDC1-UP#13.5,Construction
"3,191,388",MDC1-UP#13.2,Construction Summary
"3,191,673",MDC1-UP#13.4,Preconstruction
"3,191,599",MDC1-UP#13.3,Preliminary Milestones
"3,192,002",MDC1-UP#13.6,DELAY
"3,194,559",MDC1-UP#13.7,VOID ACTIVITIES
"3,191,393",MDC1-UP#13.8,CONTRACTUAL MILESTONES - DIV 1 SPECS
"3,192,819",MDC1-UP#13.5.1,Site
"3,191,674",MDC1-UP#13.4.9,Contracting Funding
"3,191,692",MDC1-UP#13.4.10,OFCI Equipment
"3,191,968",MDC1-UP#13.4.11,Electrical Procurement
"3,191,600",MDC1-UP#13.3.1,General
"3,191,605",MDC1-UP#13.3.2,Admin/COLO1
"3,191,622",MDC1-UP#13.3.3,COLO 2
"3,191,639",MDC1-UP#13.3.4,COLO 3
"3,191,656",MDC1-UP#13.3.5,COLO 4
"3,191,684",MDC1-UP#13.4.13,Core & Shell Procurement
"3,191,996",MDC1-UP#13.4.14,Mechanical Procurement
"3,192,955",MDC1-UP#13.5.7,Core & Shell
"3,193,068",MDC1-UP#13.5.3,Fitout
"3,194,265",MDC1-UP#13.5.2,Commissioning
"3,194,560",MDC1-UP#13.7.1,Update #1
"3,194,605",MDC1-UP#13.7.2,Update #2
"3,194,668",MDC1-UP#13.7.3,Update #3
"3,191,394",MDC1-UP#13.8.1,ADMIN/ COLO-1
"3,191,446",MDC1-UP#13.8.2,COLO-2
"3,191,497",MDC1-UP#13.8.3,COLO-3
"3,191,548",MDC1-UP#13.8.4,COLO-4
"3,194,686",MDC1-UP#13.7.4,Update#4
"3,194,541",MDC1-UP#13.5.4,Punchlist
"3,194,699",MDC1-UP#13.7.6,Update#6
"3,194,704",MDC1-UP#13.7.7,Update#7
"3,194,719",MDC1-UP#13.7.8,Update#8
"3,192,003",MDC1-UP#13.6.A,Executed Delays (CO-66)
"3,192,537",MDC1-UP#13.6.B,Pending Delays
"3,194,737",MDC1-UP#13.7.5,Update#10
"3,194,738",MDC1-UP#13.7.9,Update#12
"3,192,822",MDC1-UP#13.5.1.1,Early Utilities
"3,192,831",MDC1-UP#13.5.1.9,Dry Utilities
"3,192,824",MDC1-UP#13.5.1.10,Wet Utilties
"3,192,946",MDC1-UP#13.5.1.4,Paving and Hard Scape
"3,192,953",MDC1-UP#13.5.1.5,Landscaping & Specialities
"3,194,266",MDC1-UP#13.5.2.5,Admin
"3,194,278",MDC1-UP#13.5.2.3,COLO-1 Cx
"3,192,956",MDC1-UP#13.5.7.3,Admin
"3,193,069",MDC1-UP#13.5.3.2,Admin
"3,192,979",MDC1-UP#13.5.7.1,COLO-1
"3,193,114",MDC1-UP#13.5.3.1,COLO-1 Fit out
"3,192,820",MDC1-UP#13.5.1.2,Contractor Setup
"3,193,004",MDC1-UP#13.5.7.4,COLO 2
"3,193,022",MDC1-UP#13.5.7.5,COLO 3
"3,193,045",MDC1-UP#13.5.7.6,COLO 4
"3,191,675",MDC1-UP#13.4.9.2,Funding Release Packages
"3,193,411",MDC1-UP#13.5.3.9,COLO 2 Fitout
"3,194,346",MDC1-UP#13.5.2.2,COLO-2 Cx
"3,193,694",MDC1-UP#13.5.3.8,COLO 3 Fitout
"3,194,411",MDC1-UP#13.5.2.1,COLO-3 Cx
"3,193,977",MDC1-UP#13.5.3.6,COLO 4 Fitout
"3,194,476",MDC1-UP#13.5.2.12,COLO-4 Cx
"3,191,987",MDC1-UP#13.4.11.1,Admin/ COLO 1
"3,191,969",MDC1-UP#13.4.11.5,SITE
"3,191,997",MDC1-UP#13.4.14.2,Admin/COLO 1
"3,192,836",MDC1-UP#13.5.1.3,Eletrical Utilities
"3,191,693",MDC1-UP#13.4.10.2,Contractor E ROJ
"3,191,827",MDC1-UP#13.4.10.3,Contractor A Delivarables
"3,192,004",MDC1-UP#13.6.A.1,Delay #1 Late Submittal Approval
"3,192,030",MDC1-UP#13.6.A.3,Delay #3 Fluid Cooler
"3,192,009",MDC1-UP#13.6.A.2,Delay #2 Late UPM Deliveries
"3,192,094",MDC1-UP#13.6.A.4,Delay #4 DRB#2
"3,192,120",MDC1-UP#13.6.A.5,Delay #5 Water treatment Skids Delay
"3,192,125",MDC1-UP#13.6.A.6,Delay #6 DRB#3
"3,192,348",MDC1-UP#13.6.A.7,Delay #7- Force Majeure Shutdown -Hazardous Air Quality Index
"3,192,356",MDC1-UP#13.6.A.8,Delay #8-Underground Utilities impacted by Overhead Power lines
"3,192,372",MDC1-UP#13.6.A.9,Delay #9 MER Delivery Delay
"3,192,393",MDC1-UP#13.6.A.10,Delay#10 COVID Procurement Delay
"3,192,397",MDC1-UP#13.6.A.11,Delay#11 MWH02- Telecom vault Tie-In MSOW Delay
"3,192,402",MDC1-UP#13.6.A.12,Delay#12 Late UMS delivery Delay
"3,192,404",MDC1-UP#13.6.A.13,Delay#13 Gen Delivery Delay
"3,192,538",MDC1-UP#13.6.B.14,Delay#14 Weather
"3,192,545",MDC1-UP#13.6.B.15,Delay#15 WA State L&I MER Onsite Inspection Delay due to COVID-19
"3,194,554",MDC1-UP#13.5.4.5,Early Core & Shell Punch list
"3,194,555",MDC1-UP#13.5.4.1,ADMIN/COLO-1
"3,194,556",MDC1-UP#13.5.4.2,COLO-2
"3,194,557",MDC1-UP#13.5.4.3,COLO-3
"3,194,558",MDC1-UP#13.5.4.4,COLO-4
"3,192,427",MDC1-UP#13.6.A.16,Delay#16 NOPC-8 SE - Missing MER raceways
"3,192,434",MDC1-UP#13.6.A.17,Delay#17 NOPC-9 SE - MER Roxtec Raceway Fixes
"3,192,465",MDC1-UP#13.6.A.18,Delay#18 NOPC-10 SE - MER Flex Conduit Code & Specification Violation
"3,192,473",MDC1-UP#13.6.A.19,Delay#19 NOPC-11 Failed Starline Busway Hangers
"3,192,483",MDC1-UP#13.6.A.20,Delay#20 Admin Gen Missing Bussing
"3,192,489",MDC1-UP#13.6.A.21,Delay#21 NOPC-12 SE Field Install MER Batteries Delay
"3,192,566",MDC1-UP#13.6.B.22,Delay#22 NOPC-13 February 2021 Cx Constraints
"3,192,510",MDC1-UP#13.6.A.23,Delay#23 NOPC-14 MER Set Safety Delay
"3,192,514",MDC1-UP#13.6.A.24,Delay#24 NOPC-15 GEN Cable Bus opening Dimension Bust
"3,192,532",MDC1-UP#13.6.A.25,Delay#25 VECA Safety Standown due to Admin GEN Unplanned Enegization
"3,192,534",MDC1-UP#13.6.A.26,Delay#26 Field Modification of Tray above MSB
"3,192,619",MDC1-UP#13.6.B.28,Delay#28 NOPC-17 March 2021 Cx Constraints
"3,192,603",MDC1-UP#13.6.B.27,Delay#27 NOPC-16 Missing Wireway in COLOs 2-4 Generators
"3,192,691",MDC1-UP#13.6.B.31,Delay#31 NOPC-20 April 2021 Cx Constraints
"3,192,631",MDC1-UP#13.6.B.29,Delay#29 NOPC-18 MSB01 PDU Feeder Breaker Safety Space Constraint
"3,192,689",MDC1-UP#13.6.B.30,Delay#30 NOPC-19 COVID-19 Electrician Quarantine Constraint
"3,192,713",MDC1-UP#13.6.B.32,Delay#32 Missing Admin Arc flash Labels (RFI-520)
"3,192,717",MDC1-UP#13.6.B.33,Delay#33 NOPC-22 May 2021 Cx Constraints
"3,192,727",MDC1-UP#13.6.B.34,Delay#34 Site stand-down (Diversity training)
"3,192,730",MDC1-UP#13.6.B.35,Delay#35- NOPC-23 - RFI548- MER-Contractor G battery disconnect modifications
"3,192,754",MDC1-UP#13.6.B.36,Delay#36- NOPC-21 COLO-3 & 4 MER Cable Bus Access Space Constraint
"3,192,773",MDC1-UP#13.6.B.37,Delay#37- NOPC-24 COLO-3 MER Raceway Constraints
"3,192,775",MDC1-UP#13.6.B.38,Delay#38 NOPC-25 COLO-4 MER Raceway Constraints
"3,192,780",MDC1-UP#13.6.B.39,Delay#39 NOPC-26 July Cx Constraints
"3,192,795",MDC1-UP#13.6.B.40,Delay#40  Contractor G PNL01 Issues
"3,192,805",MDC1-UP#13.6.B.2,Delay #41 NOPC-27 Aug  Cx Constraints
"3,192,957",MDC1-UP#13.5.7.3.1,Structure
"3,192,970",MDC1-UP#13.5.7.3.2,Exterior Envelope
"3,193,070",MDC1-UP#13.5.3.2.3,Interior Buildout
"3,193,082",MDC1-UP#13.5.3.2.4,Systems Buildout
"3,194,267",MDC1-UP#13.5.2.5.1,Admin
"3,192,980",MDC1-UP#13.5.7.1.1,Structure
"3,192,994",MDC1-UP#13.5.7.1.2,Exterior Envelope
"3,193,115",MDC1-UP#13.5.3.1.3,Interior Buildout
"3,193,181",MDC1-UP#13.5.3.1.4,Systems Buildout
"3,193,005",MDC1-UP#13.5.7.4.7,Core & Shell
"3,193,023",MDC1-UP#13.5.7.5.7,Core & Shell
"3,193,046",MDC1-UP#13.5.7.6.7,Core & Shell
"3,194,339",MDC1-UP#13.5.2.3.5,L4 & L5 - IST
"3,193,412",MDC1-UP#13.5.3.9.3,Interior Buildout
"3,193,473",MDC1-UP#13.5.3.9.4,Systems Buildout
"3,194,404",MDC1-UP#13.5.2.2.5,L4 & L5 - IST
"3,193,695",MDC1-UP#13.5.3.8.3,Interior Buildout
"3,193,756",MDC1-UP#13.5.3.8.4,Systems Buildout
"3,194,469",MDC1-UP#13.5.2.1.5,L4 & L5 - IST
"3,193,978",MDC1-UP#13.5.3.6.3,Interior Buildout
"3,194,039",MDC1-UP#13.5.3.6.4,Systems Buildout
"3,194,534",MDC1-UP#13.5.2.12.5,L4 & L5 - IST
"3,194,279",MDC1-UP#13.5.2.3.6,L2 - CX
"3,194,328",MDC1-UP#13.5.2.3.7,L3 - CX
"3,194,347",MDC1-UP#13.5.2.2.6,L2
"3,194,396",MDC1-UP#13.5.2.2.1,L3
"3,194,461",MDC1-UP#13.5.2.1.6,L3
"3,194,412",MDC1-UP#13.5.2.1.7,L2
"3,194,526",MDC1-UP#13.5.2.12.6,L3
"3,194,477",MDC1-UP#13.5.2.12.7,L2
"3,191,835",MDC1-UP#13.4.10.3.1,MER
"3,191,978",MDC1-UP#13.4.11.5.1,Phase 1
"3,191,985",MDC1-UP#13.4.11.5.3,Temp Power
"3,191,993",MDC1-UP#13.4.11.1.1,Electrical OFCI Procurement
"3,191,970",MDC1-UP#13.4.11.5.4,DRB#1
"3,192,837",MDC1-UP#13.5.1.3.1,Vaults and Duct Banks
"3,192,881",MDC1-UP#13.5.1.3.2,Pull wire
"3,192,911",MDC1-UP#13.5.1.3.3,TERM
"3,191,694",MDC1-UP#13.4.10.2.1,MER
"3,191,715",MDC1-UP#13.4.10.2.5,AHU
"3,191,856",MDC1-UP#13.4.10.3.2,AHU
"3,191,736",MDC1-UP#13.4.10.2.2,UPM
"3,191,877",MDC1-UP#13.4.10.3.3,UPM
"3,191,757",MDC1-UP#13.4.10.2.3,Fluid Cooler
"3,191,898",MDC1-UP#13.4.10.3.4,Fluid Cooler
"3,191,776",MDC1-UP#13.4.10.2.4,Generator
"3,191,917",MDC1-UP#13.4.10.3.5,Generator
"3,191,938",MDC1-UP#13.4.10.3.6,PDU
"3,191,797",MDC1-UP#13.4.10.2.6,PDU
"3,191,818",MDC1-UP#13.4.10.2.7,Other electrical Equipment
"3,191,959",MDC1-UP#13.4.10.3.7,Other Electrical Equipment
"3,192,034",MDC1-UP#13.6.A.3.1,COLO-1
"3,192,051",MDC1-UP#13.6.A.3.5,COLO-2
"3,192,064",MDC1-UP#13.6.A.3.2,COLO-3
"3,192,077",MDC1-UP#13.6.A.3.3,COLO-4
"3,192,096",MDC1-UP#13.6.A.4.1,Admin
"3,192,100",MDC1-UP#13.6.A.4.2,COLO-1
"3,192,105",MDC1-UP#13.6.A.4.5,COLO-2
"3,192,110",MDC1-UP#13.6.A.4.3,COLO-3
"3,192,115",MDC1-UP#13.6.A.4.4,COLO-4
"3,192,126",MDC1-UP#13.6.A.6.1,Procurement
"3,192,132",MDC1-UP#13.6.A.6.6,COLO-1
"3,192,186",MDC1-UP#13.6.A.6.2,COLO-2
"3,192,240",MDC1-UP#13.6.A.6.3,COLO-3
"3,192,294",MDC1-UP#13.6.A.6.4,COLO-4
"3,192,360",MDC1-UP#13.6.A.8.2,Sanitary Tie-in
"3,192,357",MDC1-UP#13.6.A.8.1,IWW Tie-in
"3,192,363",MDC1-UP#13.6.A.8.3,Fire Main Tie-in
"3,192,366",MDC1-UP#13.6.A.8.4,ITW Tie-in
"3,192,369",MDC1-UP#13.6.A.8.5,Telecom Tie-in
"3,192,373",MDC1-UP#13.6.A.9.1,COLO-1
"3,192,378",MDC1-UP#13.6.A.9.2,COLO-2
"3,192,383",MDC1-UP#13.6.A.9.3,COLO-3
"3,192,388",MDC1-UP#13.6.A.9.4,COLO-4
"3,192,010",MDC1-UP#13.6.A.2.1,Admin/ COLO-1
"3,192,015",MDC1-UP#13.6.A.2.2,COLO-2
"3,192,020",MDC1-UP#13.6.A.2.3,COLO-3
"3,192,025",MDC1-UP#13.6.A.2.4,COLO-4
"3,192,410",MDC1-UP#13.6.A.13.2,COLO-2
"3,192,415",MDC1-UP#13.6.A.13.3,COLO-3
"3,192,422",MDC1-UP#13.6.A.13.4,COLO-4
"3,192,546",MDC1-UP#13.6.B.15.1,COLO-1
"3,192,551",MDC1-UP#13.6.B.15.2,COLO-2
"3,192,556",MDC1-UP#13.6.B.15.3,COLO-3
"3,192,561",MDC1-UP#13.6.B.15.4,COLO-4
"3,192,405",MDC1-UP#13.6.A.13.1,COLO-1
"3,192,567",MDC1-UP#13.6.B.22.1,Delay#22.1 Contractor A February 2021 Cx Constraints
"3,192,594",MDC1-UP#13.6.B.22.2,Delay#22.2 Contractor D February 2021 Cx Constraints
"3,192,515",MDC1-UP#13.6.A.24.1,COLO-2
"3,192,522",MDC1-UP#13.6.A.24.3,COLO-3
"3,192,527",MDC1-UP#13.6.A.24.4,COLO-4
"3,192,490",MDC1-UP#13.6.A.21.1,COLO-1
"3,192,495",MDC1-UP#13.6.A.21.2,COLO-2
"3,192,500",MDC1-UP#13.6.A.21.3,COLO-3
"3,192,505",MDC1-UP#13.6.A.21.4,COLO-4
"3,192,428",MDC1-UP#13.6.A.16.1,COLO-1
"3,192,433",MDC1-UP#13.6.A.16.2,COLO-2
"3,192,435",MDC1-UP#13.6.A.17.1,COLO-1
"3,192,456",MDC1-UP#13.6.A.17.2,COLO-2
"3,192,466",MDC1-UP#13.6.A.18.1,COLO-1
"3,192,472",MDC1-UP#13.6.A.18.2,COLO-2
